"","title","author","school","sentence_spacy","sentence_str","original_publication_date","corpus_edition_date","sentence_length","sentence_lowered","tokenized_txt","lemmatized_str","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"16","Science Of Logic","Hegel","german_idealism","Thus, Fichte's most absolute, unconditional first principle, A, is a positing, a thesis; the second principle is a counter positing, an antithesis; this latter should be partly conditioned, partly unconditioned (and so contradiction in itself.","Thus, Fichte's most absolute, unconditional first principle, A, is a positing, a thesis; the second principle is a counter positing, an antithesis; this latter should be partly conditioned, partly unconditioned (and so contradiction in itself.",1817,2010,243,"thus, fichte's most absolute, unconditional first principle, a, is a positing, a thesis; the second principle is a counter positing, an antithesis; this latter should be partly conditioned, partly unconditioned (and so contradiction in itself.","['thus', 'fichte', 'most', 'absolute', 'unconditional', 'first', 'principle', 'is', 'positing', 'thesis', 'the', 'second', 'principle', 'is', 'counter', 'positing', 'an', 'antithesis', 'this', 'latter', 'should', 'be', 'partly', 'conditioned', 'partly', 'unconditioned', 'and', 'so', 'contradiction', 'in', 'itself']","thus , Fichte 's most absolute , unconditional first principle , A , be a positing , a thesis ; the second principle be a counter positing , an antithesis ; this latter should be partly condition , partly unconditioned ( and so contradiction in -PRON- .",1,0,0,0,0,0,0,0,2,1
"17","Plato - Complete Works","Plato","plato","You might learn about such things from Homer.","You might learn about such things from Homer.",-350,1997,45,"you might learn about such things from homer.","['you', 'might', 'learn', 'about', 'such', 'things', 'from', 'homer']","-PRON- may learn about such thing from Homer .",0,0,0,0,0,0,0,0,0,1
"18","Quintessence","Quine","analytic","The indeterminacy that I mean is more radical.","The indeterminacy that I mean is more radical.",1950,2004,46,"the indeterminacy that i mean is more radical.","['the', 'indeterminacy', 'that', 'mean', 'is', 'more', 'radical']","the indeterminacy that -PRON- mean be more radical .",0,0,0,0,0,0,0,0,0,0
"19","Women, Race, And Class","Davis","feminism","By however, when all charges against Tibbs were dismissed, white anti rape activists had increasingly begun to align themselves with his cause.","By however, when all charges against Tibbs were dismissed, white anti rape activists had increasingly begun to align themselves with his cause.",1981,1981,143,"by however, when all charges against tibbs were dismissed, white anti rape activists had increasingly begun to align themselves with his cause.","['by', 'however', 'when', 'all', 'charges', 'against', 'tibbs', 'were', 'dismissed', 'white', 'anti', 'rape', 'activists', 'had', 'increasingly', 'begun', 'to', 'align', 'themselves', 'with', 'his', 'cause']","by however , when all charge against Tibbs be dismiss , white anti rape activist have increasingly begin to align -PRON- with -PRON- cause .",1,2,1,1,1,1,0,1,1,1
"20","Plato - Complete Works","Plato","plato","I will accept the task, but I will make the same plea as you made at the beginning of your speech, when you asked for our sympathy and understanding on account of the magnitude of the argument you were undertaking.","I will accept the task, but I will make the same plea as you made at the beginning of your speech, when you asked for our sympathy and understanding on account of the magnitude of the argument you were undertaking.",-350,1997,214,"i will accept the task, but i will make the same plea as you made at the beginning of your speech, when you asked for our sympathy and understanding on account of the magnitude of the argument you were undertaking.","['will', 'accept', 'the', 'task', 'but', 'will', 'make', 'the', 'same', 'plea', 'as', 'you', 'made', 'at', 'the', 'beginning', 'of', 'your', 'speech', 'when', 'you', 'asked', 'for', 'our', 'sympathy', 'and', 'understanding', 'on', 'account', 'of', 'the', 'magnitude', 'of', 'the', 'argument', 'you', 'were', 'undertaking']","-PRON- will accept the task , but -PRON- will make the same plea as -PRON- make at the beginning of -PRON- speech , when -PRON- ask for -PRON- sympathy and understanding on account of the magnitude of the argument -PRON- be undertake .",1,2,0,1,0,2,0,2,2,4
"21","Meditations","Marcus Aurelius","stoicism","All those things, for matter of experience are usual and ordinary; for their continuance but for a day; and for their matter, most base and filthy.","All those things, for matter of experience are usual and ordinary; for their continuance but for a day; and for their matter, most base and filthy.",170,2008,147,"all those things, for matter of experience are usual and ordinary; for their continuance but for a day; and for their matter, most base and filthy.","['all', 'those', 'things', 'for', 'matter', 'of', 'experience', 'are', 'usual', 'and', 'ordinary', 'for', 'their', 'continuance', 'but', 'for', 'day', 'and', 'for', 'their', 'matter', 'most', 'base', 'and', 'filthy']","all those thing , for matter of experience be usual and ordinary ; for -PRON- continuance but for a day ; and for -PRON- matter , most base and filthy .",0,0,1,0,0,0,0,2,1,1
"22","Aristotle - Complete Works","Aristotle","aristotle","Such things come to be, then, by the accession not of a quantity of flesh but of a quantity of something.","Such things come to be, then, by the accession not of a quantity of flesh but of a quantity of something.",-320,1991,105,"such things come to be, then, by the accession not of a quantity of flesh but of a quantity of something.","['such', 'things', 'come', 'to', 'be', 'then', 'by', 'the', 'accession', 'not', 'of', 'quantity', 'of', 'flesh', 'but', 'of', 'quantity', 'of', 'something']","such thing come to be , then , by the accession not of a quantity of flesh but of a quantity of something .",0,0,1,0,0,0,0,0,0,0
"23","Thus Spake Zarathustra","Nietzsche","nietzsche","And he who liveth nigh unto them liveth nigh unto black pools, wherein the toad singeth his song with sweet gravity.","And he who liveth nigh unto them liveth nigh unto black pools, wherein the toad singeth his song with sweet gravity.",1887,2008,116,"and he who liveth nigh unto them liveth nigh unto black pools, wherein the toad singeth his song with sweet gravity.","['and', 'he', 'who', 'liveth', 'nigh', 'unto', 'them', 'liveth', 'nigh', 'unto', 'black', 'pools', 'wherein', 'the', 'toad', 'singeth', 'his', 'song', 'with', 'sweet', 'gravity']","and -PRON- who liveth nigh unto -PRON- liveth nigh unto black pool , wherein the toad singeth -PRON- song with sweet gravity .",0,1,1,0,1,1,1,1,2,1
"24","Lewis - Papers","Lewis","analytic","They say their understanding is limited to what can be expressed by modalities and world restricted quantifiers.","They say their understanding is limited to what can be expressed by modalities and world restricted quantifiers.",1985,2008,112,"they say their understanding is limited to what can be expressed by modalities and world restricted quantifiers.","['they', 'say', 'their', 'understanding', 'is', 'limited', 'to', 'what', 'can', 'be', 'expressed', 'by', 'modalities', 'and', 'world', 'restricted', 'quantifiers']","-PRON- say -PRON- understanding be limit to what can be express by modality and world restrict quantifier .",1,0,0,0,0,1,0,1,1,1
"25","The Second Sex","Beauvoir","feminism","I saw him twice afterward.","I saw him twice afterward.",1949,2009,26,"i saw him twice afterward.","['saw', 'him', 'twice', 'afterward']","-PRON- see -PRON- twice afterward .",0,0,0,0,0,0,0,0,0,0
"26","Aristotle - Complete Works","Aristotle","aristotle","Why is it that food is not given immediately after exercise and after medicine has been administered?","Why is it that food is not given immediately after exercise and after medicine has been administered?",-320,1991,101,"why is it that food is not given immediately after exercise and after medicine has been administered?","['why', 'is', 'it', 'that', 'food', 'is', 'not', 'given', 'immediately', 'after', 'exercise', 'and', 'after', 'medicine', 'has', 'been', 'administered']","why be -PRON- that food be not give immediately after exercise and after medicine have be administer ?",0,1,0,0,1,0,0,1,1,2
"27","Women, Race, And Class","Davis","feminism","When she died in a tribute in the Daily Worker described her as a link between the labor movement of the present and the great historic events of the 's","When she died in a tribute in the Daily Worker described her as a link between the labor movement of the present and the great historic events of the 's",1981,1981,152,"when she died in a tribute in the daily worker described her as a link between the labor movement of the present and the great historic events of the 's","['when', 'she', 'died', 'in', 'tribute', 'in', 'the', 'daily', 'worker', 'described', 'her', 'as', 'link', 'between', 'the', 'labor', 'movement', 'of', 'the', 'present', 'and', 'the', 'great', 'historic', 'events', 'of', 'the']","when -PRON- die in a tribute in the Daily Worker describe -PRON- as a link between the labor movement of the present and the great historic event of the 's",0,3,0,0,2,0,2,2,0,3
"28","Science Of Logic","Hegel","german_idealism","Quantum is thus the determinateness that has returned into simple selfequality which is at one with determinate existence","Quantum is thus the determinateness that has returned into simple selfequality which is at one with determinate existence",1817,2010,121,"quantum is thus the determinateness that has returned into simple selfequality which is at one with determinate existence","['quantum', 'is', 'thus', 'the', 'determinateness', 'that', 'has', 'returned', 'into', 'simple', 'selfequality', 'which', 'is', 'at', 'one', 'with', 'determinate', 'existence']","Quantum be thus the determinateness that have return into simple selfequality which be at one with determinate existence",0,1,0,0,0,0,0,1,0,1
"29","Naming And Necessity","Kripke","analytic","You say, 'Here, this, and that (designating the same sense datum by both demonstratives).'","You say, 'Here, this, and that (designating the same sense datum by both demonstratives).'",1972,1990,90,"you say, 'here, this, and that (designating the same sense datum by both demonstratives).'","['you', 'say', 'here', 'this', 'and', 'that', 'designating', 'the', 'same', 'sense', 'datum', 'by', 'both', 'demonstratives']","-PRON- say , ' here , this , and that ( designate the same sense datum by both demonstrative ) . '",0,0,0,0,0,0,0,0,0,1
"30","Science Of Logic","Hegel","german_idealism","In this remark I shall examine identity more closely as the principle of identity which is commonly adduced as the first law of thought.","In this remark I shall examine identity more closely as the principle of identity which is commonly adduced as the first law of thought.",1817,2010,136,"in this remark i shall examine identity more closely as the principle of identity which is commonly adduced as the first law of thought.","['in', 'this', 'remark', 'shall', 'examine', 'identity', 'more', 'closely', 'as', 'the', 'principle', 'of', 'identity', 'which', 'is', 'commonly', 'adduced', 'as', 'the', 'first', 'law', 'of', 'thought']","in this remark -PRON- shall examine identity more closely as the principle of identity which be commonly adduce as the first law of thought .",0,1,0,0,0,0,0,1,0,0
"31","Theodicy","Leibniz","rationalism","It must be confessed, however, that there are disorders in this life, which appear especially in the prosperity of sundry evil men and in the misfortune of many good people.","It must be confessed, however, that there are disorders in this life, which appear especially in the prosperity of sundry evil men and in the misfortune of many good people.",1710,2005,173,"it must be confessed, however, that there are disorders in this life, which appear especially in the prosperity of sundry evil men and in the misfortune of many good people.","['it', 'must', 'be', 'confessed', 'however', 'that', 'there', 'are', 'disorders', 'in', 'this', 'life', 'which', 'appear', 'especially', 'in', 'the', 'prosperity', 'of', 'sundry', 'evil', 'men', 'and', 'in', 'the', 'misfortune', 'of', 'many', 'good', 'people']","-PRON- must be confess , however , that there be disorder in this life , which appear especially in the prosperity of sundry evil man and in the misfortune of many good people .",1,1,1,2,1,2,1,1,2,2
"32","Plato - Complete Works","Plato","plato","Suppose there remained only two, and bad were eliminated and could affect no one in body or soul or anything else that we say is neither good nor bad in and of itself.","Suppose there remained only two, and bad were eliminated and could affect no one in body or soul or anything else that we say is neither good nor bad in and of itself.",-350,1997,167,"suppose there remained only two, and bad were eliminated and could affect no one in body or soul or anything else that we say is neither good nor bad in and of itself.","['suppose', 'there', 'remained', 'only', 'two', 'and', 'bad', 'were', 'eliminated', 'and', 'could', 'affect', 'no', 'one', 'in', 'body', 'or', 'soul', 'or', 'anything', 'else', 'that', 'we', 'say', 'is', 'neither', 'good', 'nor', 'bad', 'in', 'and', 'of', 'itself']","suppose there remain only two , and bad be eliminate and could affect no one in body or soul or anything else that -PRON- say be neither good nor bad in and of -PRON- .",1,1,1,1,1,1,1,1,1,1
"33","History Of Madness","Foucault","continental","To lock up the mad was in essence to protect society against the peril that they represented: A thousand examples have proven this danger, and the newspapers recently reaffirmed it by reporting the story of a maniac who slit the throats of his wife and children, before calmly lying down to sleep beside the bloody victims of his frenzy.","To lock up the mad was in essence to protect society against the peril that they represented: A thousand examples have proven this danger, and the newspapers recently reaffirmed it by reporting the story of a maniac who slit the throats of his wife and children, before calmly lying down to sleep beside the bloody victims of his frenzy.",1961,2006,337,"to lock up the mad was in essence to protect society against the peril that they represented: a thousand examples have proven this danger, and the newspapers recently reaffirmed it by reporting the story of a maniac who slit the throats of his wife and children, before calmly lying down to sleep beside the bloody victims of his frenzy.","['to', 'lock', 'up', 'the', 'mad', 'was', 'in', 'essence', 'to', 'protect', 'society', 'against', 'the', 'peril', 'that', 'they', 'represented', 'thousand', 'examples', 'have', 'proven', 'this', 'danger', 'and', 'the', 'newspapers', 'recently', 'reaffirmed', 'it', 'by', 'reporting', 'the', 'story', 'of', 'maniac', 'who', 'slit', 'the', 'throats', 'of', 'his', 'wife', 'and', 'children', 'before', 'calmly', 'lying', 'down', 'to', 'sleep', 'beside', 'the', 'bloody', 'victims', 'of', 'his', 'frenzy']","to lock up the mad be in essence to protect society against the peril that -PRON- represent : a thousand example have prove this danger , and the newspaper recently reaffirm -PRON- by report the story of a maniac who slit the throat of -PRON- wife and child , before calmly lie down to sleep beside the bloody victim of -PRON- frenzy .",4,1,3,5,0,4,0,1,7,2
"34","The System Of Ethics","Fichte","german_idealism","Thus a new boundary line would here have to be drawn.","Thus a new boundary line would here have to be drawn.",1798,2005,53,"thus a new boundary line would here have to be drawn.","['thus', 'new', 'boundary', 'line', 'would', 'here', 'have', 'to', 'be', 'drawn']","thus a new boundary line would here have to be draw .",0,0,0,0,0,0,0,0,0,0
"35","Theodicy","Leibniz","rationalism","Go to my daughter Pallas, she will inform you what I was bound to do.","Go to my daughter Pallas, she will inform you what I was bound to do.",1710,2005,69,"go to my daughter pallas, she will inform you what i was bound to do.","['go', 'to', 'my', 'daughter', 'pallas', 'she', 'will', 'inform', 'you', 'what', 'was', 'bound', 'to', 'do']","go to -PRON- daughter Pallas , -PRON- will inform -PRON- what -PRON- be bind to do .",0,0,0,0,1,0,0,1,1,1
"36","Plato - Complete Works","Plato","plato","I don't know what you mean, Socrates.","I don't know what you mean, Socrates.",-350,1997,37,"i don't know what you mean, socrates.","['don', 'know', 'what', 'you', 'mean', 'socrates']","-PRON- do not know what -PRON- mean , Socrates .",0,0,0,0,0,0,0,0,0,0
"37","Ecce Homo","Nietzsche","nietzsche","On that account alone, this treatise was an event in Wagner's life: thenceforward great hopes surrounded the name of Wagner.","On that account alone, this treatise was an event in Wagner's life: thenceforward great hopes surrounded the name of Wagner.",1888,2016,124,"on that account alone, this treatise was an event in wagner's life: thenceforward great hopes surrounded the name of wagner.","['on', 'that', 'account', 'alone', 'this', 'treatise', 'was', 'an', 'event', 'in', 'wagner', 'life', 'thenceforward', 'great', 'hopes', 'surrounded', 'the', 'name', 'of', 'wagner']","on that account alone , this treatise be an event in Wagner 's life : thenceforward great hope surround the name of Wagner .",0,0,0,0,0,0,0,1,0,0
"38","The Wealth Of Nations","Smith","capitalism","the command of a quantity equal to what.","the command of a quantity equal to what.",1776,2009,40,"the command of a quantity equal to what.","['the', 'command', 'of', 'quantity', 'equal', 'to', 'what']","the command of a quantity equal to what .",0,0,0,0,0,0,0,0,0,0
"39","The Second Sex","Beauvoir","feminism","There were three types of contracts: one dealt with servile marriage; woman became man's thing, but she could specify that he would not have a concubine other than her; nonetheless, the legal spouse was considered equal to man, and all their property was held in common; the husband would often agree to pay her a sum of money in the case of divorce.","There were three types of contracts: one dealt with servile marriage; woman became man's thing, but she could specify that he would not have a concubine other than her; nonetheless, the legal spouse was considered equal to man, and all their property was held in common; the husband would often agree to pay her a sum of money in the case of divorce.",1949,2009,350,"there were three types of contracts: one dealt with servile marriage; woman became man's thing, but she could specify that he would not have a concubine other than her; nonetheless, the legal spouse was considered equal to man, and all their property was held in common; the husband would often agree to pay her a sum of money in the case of divorce.","['there', 'were', 'three', 'types', 'of', 'contracts', 'one', 'dealt', 'with', 'servile', 'marriage', 'woman', 'became', 'man', 'thing', 'but', 'she', 'could', 'specify', 'that', 'he', 'would', 'not', 'have', 'concubine', 'other', 'than', 'her', 'nonetheless', 'the', 'legal', 'spouse', 'was', 'considered', 'equal', 'to', 'man', 'and', 'all', 'their', 'property', 'was', 'held', 'in', 'common', 'the', 'husband', 'would', 'often', 'agree', 'to', 'pay', 'her', 'sum', 'of', 'money', 'in', 'the', 'case', 'of', 'divorce']","there be three type of contract : one deal with servile marriage ; woman become man 's thing , but -PRON- could specify that -PRON- would not have a concubine other than -PRON- ; nonetheless , the legal spouse be consider equal to man , and all -PRON- property be hold in common ; the husband would often agree to pay -PRON- a sum of money in the case of divorce .",2,3,2,3,4,3,2,6,3,6
"40","The Problems Of Philosophy","Russell","analytic","It is usually through particular instances that we come to be able to see the general principle.","It is usually through particular instances that we come to be able to see the general principle.",1912,2004,96,"it is usually through particular instances that we come to be able to see the general principle.","['it', 'is', 'usually', 'through', 'particular', 'instances', 'that', 'we', 'come', 'to', 'be', 'able', 'to', 'see', 'the', 'general', 'principle']","-PRON- be usually through particular instance that -PRON- come to be able to see the general principle .",0,0,0,0,0,0,0,1,0,1
"41","Philosophical Troubles","Kripke","analytic","So, they are obviously just what they themselves claim to be, that is, very cleverly programmed robots similar to a genuine human subject like me.","So, they are obviously just what they themselves claim to be, that is, very cleverly programmed robots similar to a genuine human subject like me.",1975,2011,146,"so, they are obviously just what they themselves claim to be, that is, very cleverly programmed robots similar to a genuine human subject like me.","['so', 'they', 'are', 'obviously', 'just', 'what', 'they', 'themselves', 'claim', 'to', 'be', 'that', 'is', 'very', 'cleverly', 'programmed', 'robots', 'similar', 'to', 'genuine', 'human', 'subject', 'like', 'me']","so , -PRON- be obviously just what -PRON- -PRON- claim to be , that is , very cleverly program robot similar to a genuine human subject like -PRON- .",0,0,0,0,0,0,0,1,1,1
